analytic,cls_EulerSolver,cls_HeunSolver
17.9,45.87,45.7202,45.908
18,45.6624,45.5132,45.7002
18.1,45.4568,45.3083,45.4944
18.2,45.2532,45.1054,45.2907
18.3,45.0517,44.9046,45.089
18.4,44.8522,44.7057,44.8893
18.5,44.6546,44.5089,44.6916
18.6,44.4591,44.314,44.4959
18.7,44.2655,44.121,44.3021
18.8,44.0738,43.93,44.1102
18.9,43.884,43.7409,43.9203
19,43.6961,43.5537,43.7322
19.1,43.51,43.3683,43.546
19.2,43.3259,43.1848,43.3616
19.3,43.1435,43.0031,43.1791
19.4,42.963,42.8233,42.9984
19.5,42.7843,42.6452,42.8195
19.6,42.6073,42.469,42.6424
19.7,42.4321,42.2944,42.467
19.8,42.2587,42.1217,42.2934
19.9,42.0869,41.9506,42.1215
20,41.9169,41.7813,41.9513
20.1,41.7486,41.6136,41.7828
20.2,41.5819,41.4477,41.616
20.3,41.4169,41.2834,41.4508
20.4,41.2536,41.1207,41.2873
20.5,41.0919,40.9596,41.1254
20.6,40.9317,40.8002,40.9651
20.7,40.7732,40.6424,40.8064
20.8,40.6163,40.4861,40.6493
20.9,40.4609,40.3314,40.4937
21,40.3071,40.1782,40.3397
21.1,40.1547,40.0266,40.1873
21.2,40.004,39.8765,40.0363
21.3,39.8547,39.7279,39.8868
21.4,39.7069,39.5807,39.7389
21.5,39.5605,39.4351,39.5924
21.6,39.4156,39.2909,39.4473
21.7,39.2722,39.1481,39.3037
21.8,39.1302,39.0068,39.1615
21.9,38.9896,38.8668,39.0207
22,38.8504,38.7283,38.8814
22.1,38.7126,38.5912,38.7434
22.2,38.5761,38.4554,38.6068
22.3,38.4411,38.321,38.4715
22.4,38.3073,38.1879,38.3376
22.5,38.1749,38.0561,38.205
22.6,38.0438,37.9257,38.0738
22.7,37.914,37.7966,37.9438
22.8,37.7855,37.6687,37.8152
22.9,37.6583,37.5422,37.6878
23,37.5324,37.4169,37.5617
23.1,37.4077,37.2928,37.4368
23.2,37.2842,37.17,37.3132
23.3,37.162,37.0485,37.1908
23.4,37.041,36.9281,37.0696
23.5,36.9211,36.8089,36.9496
23.6,36.8025,36.691,36.8309
23.7,36.6851,36.5742,36.7133
23.8,36.5688,36.4585,36.5968
23.9,36.4537,36.3441,36.4815
24,36.3397,36.2307,36.3674
24.1,36.2269,36.1185,36.2544
24.2,36.1152,36.0075,36.1426
24.3,36.0046,35.8975,36.0318
24.4,35.8951,35.7886,35.9221
24.5,35.7867,35.6809,35.8136
24.6,35.6794,35.5742,35.7061
24.7,35.5731,35.4685,35.5997
24.8,35.4679,35.3639,35.4943
24.9,35.3637,35.2604,35.39
25,35.2606,35.1579,35.2867
25.1,35.1585,35.0564,35.1845
25.2,35.0575,34.956,35.0832
25.3,34.9574,34.8565,34.983
25.4,34.8583,34.758,34.8838
25.5,34.7602,34.6606,34.7855
25.6,34.6631,34.564,34.6883
25.7,34.5669,34.4685,34.5919
25.8,34.4718,34.3739,34.4966
25.9,34.3775,34.2803,34.4022
26,34.2842,34.1876,34.3087
26.1,34.1918,34.0958,34.2162
26.2,34.1004,34.0049,34.1246
26.3,34.0098,33.9149,34.0339
26.4,33.9202,33.8259,33.9441
26.5,33.8314,33.7377,33.8552
26.6,33.7435,33.6504,33.7672
26.7,33.6565,33.564,33.68
26.8,33.5704,33.4785,33.5938
26.9,33.4851,33.3938,33.5083
27,33.4007,33.3099,33.4238
27.1,33.3171,33.2269,33.34
27.2,33.2343,33.1447,33.2571
27.3,33.1524,33.0633,33.175
27.4,33.0713,32.9828,33.0938
27.5,32.991,32.903,33.0133
27.6,32.9115,32.8241,32.9337
27.7,32.8328,32.7459,32.8548
27.8,32.7548,32.6685,32.7767
27.9,32.6777,32.5919,32.6994
28,32.6013,32.5161,32.6229
