analytic,cls_EulerSolver,cls_HeunSolver
75.7,25.0645,25.0625,25.065
75.8,25.0638,25.0619,25.0643
75.9,25.0632,25.0613,25.0637
76,25.0626,25.0607,25.063
76.1,25.0619,25.0601,25.0624
76.2,25.0613,25.0595,25.0618
76.3,25.0607,25.0589,25.0612
76.4,25.0601,25.0583,25.0606
76.5,25.0595,25.0577,25.06
76.6,25.0589,25.0571,25.0594
76.7,25.0583,25.0566,25.0588
76.8,25.0577,25.056,25.0582
76.9,25.0572,25.0554,25.0576
77,25.0566,25.0549,25.057
77.1,25.056,25.0543,25.0565
77.2,25.0555,25.0538,25.0559
77.3,25.0549,25.0532,25.0554
77.4,25.0544,25.0527,25.0548
77.5,25.0538,25.0522,25.0543
77.6,25.0533,25.0517,25.0537
77.7,25.0528,25.0512,25.0532
77.8,25.0523,25.0506,25.0527
77.9,25.0517,25.0501,25.0521
78,25.0512,25.0496,25.0516
78.1,25.0507,25.0491,25.0511
78.2,25.0502,25.0486,25.0506
78.3,25.0497,25.0482,25.0501
78.4,25.0492,25.0477,25.0496
78.5,25.0487,25.0472,25.0491
78.6,25.0482,25.0467,25.0486
78.7,25.0478,25.0463,25.0481
78.8,25.0473,25.0458,25.0477
78.9,25.0468,25.0453,25.0472
79,25.0463,25.0449,25.0467
79.1,25.0459,25.0444,25.0463
79.2,25.0454,25.044,25.0458
79.3,25.045,25.0436,25.0453
79.4,25.0445,25.0431,25.0449
79.5,25.0441,25.0427,25.0444
79.6,25.0436,25.0423,25.044
79.7,25.0432,25.0418,25.0436
79.8,25.0428,25.0414,25.0431
79.9,25.0424,25.041,25.0427
80,25.0419,25.0406,25.0423
80.1,25.0415,25.0402,25.0419
80.2,25.0411,25.0398,25.0414
80.3,25.0407,25.0394,25.041
80.4,25.0403,25.039,25.0406
80.5,25.0399,25.0386,25.0402
80.6,25.0395,25.0382,25.0398
80.7,25.0391,25.0378,25.0394
80.8,25.0387,25.0375,25.039
80.9,25.0383,25.0371,25.0386
81,25.0379,25.0367,25.0383
81.1,25.0376,25.0364,25.0379
81.2,25.0372,25.036,25.0375
81.3,25.0368,25.0356,25.0371
81.4,25.0365,25.0353,25.0368
81.5,25.0361,25.0349,25.0364
81.6,25.0357,25.0346,25.036
81.7,25.0354,25.0342,25.0357
81.8,25.035,25.0339,25.0353
81.9,25.0347,25.0336,25.035
82,25.0343,25.0332,25.0346
82.1,25.034,25.0329,25.0343
82.2,25.0337,25.0326,25.0339
82.3,25.0333,25.0322,25.0336
82.4,25.033,25.0319,25.0333
82.5,25.0327,25.0316,25.0329
82.6,25.0323,25.0313,25.0326
82.7,25.032,25.031,25.0323
82.8,25.0317,25.0307,25.032
82.9,25.0314,25.0303,25.0316
83,25.0311,25.03,25.0313
83.1,25.0308,25.0297,25.031
83.2,25.0304,25.0294,25.0307
83.3,25.0301,25.0292,25.0304
83.4,25.0298,25.0289,25.0301
83.5,25.0295,25.0286,25.0298
83.6,25.0293,25.0283,25.0295
83.7,25.029,25.028,25.0292
83.8,25.0287,25.0277,25.0289
83.9,25.0284,25.0274,25.0286
84,25.0281,25.0272,25.0283
84.1,25.0278,25.0269,25.0281
84.2,25.0276,25.0266,25.0278
84.3,25.0273,25.0264,25.0275
84.4,25.027,25.0261,25.0272
84.5,25.0267,25.0258,25.027
84.6,25.0265,25.0256,25.0267
84.7,25.0262,25.0253,25.0264
84.8,25.0259,25.0251,25.0262
84.9,25.0257,25.0248,25.0259
85,25.0254,25.0246,25.0257
85.1,25.0252,25.0243,25.0254
85.2,25.0249,25.0241,25.0251
85.3,25.0247,25.0238,25.0249
85.4,25.0244,25.0236,25.0246
85.5,25.0242,25.0234,25.0244
85.6,25.024,25.0231,25.0242
85.7,25.0237,25.0229,25.0239
85.8,25.0235,25.0227,25.0237
85.9,25.0232,25.0225,25.0234
86,25.023,25.0222,25.0232
86.1,25.0228,25.022,25.023
86.2,25.0226,25.0218,25.0228
86.3,25.0223,25.0216,25.0225
86.4,25.0221,25.0214,25.0223
86.5,25.0219,25.0211,25.0221
86.6,25.0217,25.0209,25.0219
86.7,25.0215,25.0207,25.0216
86.8,25.0212,25.0205,25.0214
86.9,25.021,25.0203,25.0212
87,25.0208,25.0201,25.021
87.1,25.0206,25.0199,25.0208
87.2,25.0204,25.0197,25.0206
87.3,25.0202,25.0195,25.0204
87.4,25.02,25.0193,25.0202
87.5,25.0198,25.0191,25.02
87.6,25.0196,25.0189,25.0198
87.7,25.0194,25.0187,25.0196
87.8,25.0192,25.0186,25.0194
87.9,25.019,25.0184,25.0192
88,25.0188,25.0182,25.019
88.1,25.0187,25.018,25.0188
88.2,25.0185,25.0178,25.0186
88.3,25.0183,25.0176,25.0184
88.4,25.0181,25.0175,25.0183
88.5,25.0179,25.0173,25.0181
88.6,25.0177,25.0171,25.0179
88.7,25.0176,25.017,25.0177
88.8,25.0174,25.0168,25.0176
88.9,25.0172,25.0166,25.0174
89,25.017,25.0164,25.0172
89.1,25.0169,25.0163,25.017
89.2,25.0167,25.0161,25.0169
89.3,25.0165,25.016,25.0167
89.4,25.0164,25.0158,25.0165
89.5,25.0162,25.0156,25.0164
89.6,25.0161,25.0155,25.0162
89.7,25.0159,25.0153,25.016
89.8,25.0157,25.0152,25.0159
89.9,25.0156,25.015,25.0157
90,25.0154,25.0149,25.0156
90.1,25.0153,25.0147,25.0154
90.2,25.0151,25.0146,25.0153
90.3,25.015,25.0144,25.0151
90.4,25.0148,25.0143,25.015
90.5,25.0147,25.0141,25.0148
90.6,25.0145,25.014,25.0147
90.7,25.0144,25.0139,25.0145
90.8,25.0142,25.0137,25.0144
90.9,25.0141,25.0136,25.0142
91,25.014,25.0135,25.0141
91.1,25.0138,25.0133,25.0139
91.2,25.0137,25.0132,25.0138
91.3,25.0135,25.0131,25.0137
91.4,25.0134,25.0129,25.0135
91.5,25.0133,25.0128,25.0134
91.6,25.0131,25.0127,25.0133
91.7,25.013,25.0125,25.0131
91.8,25.0129,25.0124,25.013
91.9,25.0128,25.0123,25.0129
92,25.0126,25.0122,25.0127
92.1,25.0125,25.012,25.0126
92.2,25.0124,25.0119,25.0125
92.3,25.0123,25.0118,25.0124
92.4,25.0121,25.0117,25.0122
92.5,25.012,25.0116,25.0121
92.6,25.0119,25.0115,25.012
92.7,25.0118,25.0113,25.0119
92.8,25.0117,25.0112,25.0118
92.9,25.0115,25.0111,25.0117
93,25.0114,25.011,25.0115
93.1,25.0113,25.0109,25.0114
93.2,25.0112,25.0108,25.0113
93.3,25.0111,25.0107,25.0112
93.4,25.011,25.0106,25.0111
93.5,25.0109,25.0105,25.011
93.6,25.0108,25.0104,25.0109
93.7,25.0107,25.0103,25.0108
93.8,25.0105,25.0102,25.0107
93.9,25.0104,25.0101,25.0105
94,25.0103,25.01,25.0104
94.1,25.0102,25.0099,25.0103
94.2,25.0101,25.0098,25.0102
94.3,25.01,25.0097,25.0101
94.4,25.0099,25.0096,25.01
94.5,25.0098,25.0095,25.0099
94.6,25.0097,25.0094,25.0098
94.7,25.0096,25.0093,25.0097
94.8,25.0095,25.0092,25.0096
94.9,25.0095,25.0091,25.0095
95,25.0094,25.009,25.0094
95.1,25.0093,25.0089,25.0094
95.2,25.0092,25.0088,25.0093
95.3,25.0091,25.0087,25.0092
95.4,25.009,25.0087,25.0091
95.5,25.0089,25.0086,25.009
95.6,25.0088,25.0085,25.0089
95.7,25.0087,25.0084,25.0088
95.8,25.0086,25.0083,25.0087
95.9,25.0086,25.0082,25.0086
96,25.0085,25.0081,25.0085
96.1,25.0084,25.0081,25.0085
96.2,25.0083,25.008,25.0084
96.3,25.0082,25.0079,25.0083
96.4,25.0081,25.0078,25.0082
96.5,25.0081,25.0077,25.0081
96.6,25.008,25.0077,25.0081
96.7,25.0079,25.0076,25.008
96.8,25.0078,25.0075,25.0079
96.9,25.0077,25.0074,25.0078
97,25.0077,25.0074,25.0077
97.1,25.0076,25.0073,25.0077
97.2,25.0075,25.0072,25.0076
97.3,25.0074,25.0071,25.0075
97.4,25.0074,25.0071,25.0074
97.5,25.0073,25.007,25.0074
97.6,25.0072,25.0069,25.0073
97.7,25.0071,25.0069,25.0072
97.8,25.0071,25.0068,25.0071
97.9,25.007,25.0067,25.0071
98,25.0069,25.0067,25.007
98.1,25.0069,25.0066,25.0069
98.2,25.0068,25.0065,25.0069
98.3,25.0067,25.0065,25.0068
98.4,25.0067,25.0064,25.0067
98.5,25.0066,25.0063,25.0067
98.6,25.0065,25.0063,25.0066
98.7,25.0065,25.0062,25.0065
98.8,25.0064,25.0061,25.0065
98.9,25.0063,25.0061,25.0064
99,25.0063,25.006,25.0063
99.1,25.0062,25.006,25.0063
99.2,25.0061,25.0059,25.0062
99.3,25.0061,25.0058,25.0061
99.4,25.006,25.0058,25.0061
99.5,25.006,25.0057,25.006
99.6,25.0059,25.0057,25.006
99.7,25.0058,25.0056,25.0059
99.8,25.0058,25.0056,25.0058
99.9,25.0057,25.0055,25.0058
100,25.0057,25.0055,25.0057
