time,analytic,euler,heun
18,45.6624,45.476,45.663
18.1,45.4568,45.2712,45.4574
18.2,45.2532,45.0685,45.2538
18.3,45.0517,44.8678,45.0523
18.4,44.8522,44.6692,44.8528
18.5,44.6546,44.4725,44.6553
18.6,44.4591,44.2777,44.4597
18.7,44.2655,44.085,44.2661
18.8,44.0738,43.8941,44.0744
18.9,43.884,43.7052,43.8846
19,43.6961,43.5181,43.6967
19.1,43.51,43.3329,43.5106
19.2,43.3259,43.1496,43.3265
19.3,43.1435,42.9681,43.1441
19.4,42.963,42.7884,42.9636
19.5,42.7843,42.6106,42.7848
19.6,42.6073,42.4344,42.6079
19.7,42.4321,42.2601,42.4327
19.8,42.2587,42.0875,42.2592
19.9,42.0869,41.9166,42.0875
20,41.9169,41.7475,41.9175
20.1,41.7486,41.58,41.7491
20.2,41.5819,41.4142,41.5825
20.3,41.4169,41.25,41.4175
20.4,41.2536,41.0875,41.2541
20.5,41.0919,40.9267,41.0924
20.6,40.9317,40.7674,40.9323
20.7,40.7732,40.6097,40.7738
20.8,40.6163,40.4536,40.6168
20.9,40.4609,40.2991,40.4614
21,40.3071,40.1461,40.3076
21.1,40.1547,39.9946,40.1553
21.2,40.004,39.8447,40.0045
21.3,39.8547,39.6962,39.8552
21.4,39.7069,39.5493,39.7074
21.5,39.5605,39.4038,39.561
21.6,39.4156,39.2598,39.4162
21.7,39.2722,39.1172,39.2727
21.8,39.1302,38.976,39.1307
21.9,38.9896,38.8362,38.9901
22,38.8504,38.6979,38.8509
22.1,38.7126,38.5609,38.7131
22.2,38.5761,38.4253,38.5766
22.3,38.4411,38.291,38.4416
22.4,38.3073,38.1581,38.3078
22.5,38.1749,38.0265,38.1754
22.6,38.0438,37.8963,38.0443
22.7,37.914,37.7673,37.9145
22.8,37.7855,37.6396,37.786
22.9,37.6583,37.5132,37.6588
23,37.5324,37.3881,37.5328
23.1,37.4077,37.2642,37.4081
23.2,37.2842,37.1416,37.2847
23.3,37.162,37.0202,37.1624
23.4,37.041,36.9,37.0414
23.5,36.9211,36.781,36.9216
23.6,36.8025,36.6632,36.803
23.7,36.6851,36.5465,36.6856
23.8,36.5688,36.4311,36.5693
23.9,36.4537,36.3167,36.4542
24,36.3397,36.2036,36.3402
24.1,36.2269,36.0915,36.2274
24.2,36.1152,35.9806,36.1157
24.3,36.0046,35.8708,36.0051
24.4,35.8951,35.7621,35.8956
24.5,35.7867,35.6545,35.7871
24.6,35.6794,35.5479,35.6798
24.7,35.5731,35.4425,35.5735
24.8,35.4679,35.338,35.4683
24.9,35.3637,35.2347,35.3642
25,35.2606,35.1323,35.2611
25.1,35.1585,35.031,35.159
25.2,35.0575,34.9307,35.0579
25.3,34.9574,34.8314,34.9578
25.4,34.8583,34.7331,34.8587
25.5,34.7602,34.6357,34.7606
25.6,34.6631,34.5394,34.6635
25.7,34.5669,34.444,34.5674
25.8,34.4718,34.3495,34.4722
25.9,34.3775,34.256,34.3779
26,34.2842,34.1635,34.2846
26.1,34.1918,34.0718,34.1922
26.2,34.1004,33.9811,34.1008
26.3,34.0098,33.8913,34.0102
26.4,33.9202,33.8024,33.9206
26.5,33.8314,33.7144,33.8318
26.6,33.7435,33.6272,33.7439
26.7,33.6565,33.541,33.6569
26.8,33.5704,33.4556,33.5708
26.9,33.4851,33.371,33.4855
27,33.4007,33.2873,33.4011
27.1,33.3171,33.2044,33.3175
27.2,33.2343,33.1224,33.2347
27.3,33.1524,33.0411,33.1528
27.4,33.0713,32.9607,33.0717
27.5,32.991,32.8811,32.9914
27.6,32.9115,32.8023,32.9118
27.7,32.8328,32.7243,32.8331
27.8,32.7548,32.6471,32.7552
27.9,32.6777,32.5706,32.678
28,32.6013,32.4949,32.6016
28.1,32.5256,32.4199,32.526
28.2,32.4507,32.3457,32.4511
28.3,32.3766,32.2723,32.377
28.4,32.3032,32.1995,32.3036
28.5,32.2305,32.1276,32.2309
28.6,32.1586,32.0563,32.1589
28.7,32.0874,31.9857,32.0877
28.8,32.0168,31.9159,32.0172
28.9,31.947,31.8467,31.9474
29,31.8779,31.7782,31.8782
29.1,31.8095,31.7104,31.8098
29.2,31.7417,31.6433,31.742
29.3,31.6746,31.5769,31.675
29.4,31.6082,31.5111,31.6085
29.5,31.5425,31.446,31.5428
29.6,31.4774,31.3816,31.4777
29.7,31.4129,31.3178,31.4132
29.8,31.3491,31.2546,31.3494
29.9,31.2859,31.192,31.2862
30,31.2234,31.1301,31.2237
30.1,31.1615,31.0688,31.1618
30.2,31.1002,31.0081,31.1005
30.3,31.0395,30.948,31.0398
30.4,30.9794,30.8886,30.9797
30.5,30.9199,30.8297,30.9202
30.6,30.861,30.7714,30.8613
30.7,30.8026,30.7137,30.8029
30.8,30.7449,30.6565,30.7452
30.9,30.6877,30.6,30.688
31,30.6312,30.544,30.6314
31.1,30.5751,30.4885,30.5754
31.2,30.5196,30.4336,30.5199
31.3,30.4647,30.3793,30.465
31.4,30.4103,30.3255,30.4106
31.5,30.3565,30.2723,30.3568
31.6,30.3032,30.2195,30.3035
31.7,30.2504,30.1673,30.2507
31.8,30.1982,30.1157,30.1985
31.9,30.1465,30.0645,30.1468
32,30.0953,30.0139,30.0955
32.1,30.0446,29.9637,30.0448
32.2,29.9944,29.9141,29.9947
32.3,29.9447,29.8649,29.945
32.4,29.8955,29.8163,29.8958
32.5,29.8468,29.7681,29.847
32.6,29.7985,29.7205,29.7988
32.7,29.7508,29.6732,29.7511
32.8,29.7035,29.6265,29.7038
32.9,29.6567,29.5802,29.657
33,29.6104,29.5344,29.6107
33.1,29.5645,29.4891,29.5648
33.2,29.5191,29.4442,29.5194
33.3,29.4741,29.3998,29.4744
33.4,29.4296,29.3558,29.4299
33.5,29.3855,29.3122,29.3858
33.6,29.3419,29.2691,29.3422
33.7,29.2987,29.2264,29.2989
33.8,29.2559,29.1841,29.2562
33.9,29.2136,29.1423,29.2138
34,29.1717,29.1009,29.1719
34.1,29.1302,29.0599,29.1304
34.2,29.0891,29.0193,29.0893
34.3,29.0484,28.9791,29.0486
34.4,29.0081,28.9393,29.0083
34.5,28.9682,28.8999,28.9684
34.6,28.9287,28.8609,28.9289
34.7,28.8896,28.8223,28.8899
34.8,28.8509,28.7841,28.8512
34.9,28.8126,28.7462,28.8128
35,28.7747,28.7088,28.7749
35.1,28.7371,28.6717,28.7373
35.2,28.6999,28.635,28.7001
35.3,28.6631,28.5986,28.6633
35.4,28.6267,28.5626,28.6269
35.5,28.5906,28.527,28.5908
35.6,28.5549,28.4917,28.5551
35.7,28.5195,28.4568,28.5197
35.8,28.4845,28.4222,28.4847
35.9,28.4498,28.388,28.45
36,28.4155,28.3541,28.4157
36.1,28.3815,28.3206,28.3817
36.2,28.3478,28.2874,28.348
36.3,28.3145,28.2545,28.3147
36.4,28.2815,28.222,28.2817
36.5,28.2489,28.1897,28.2491
36.6,28.2166,28.1578,28.2168
36.7,28.1846,28.1263,28.1848
36.8,28.1529,28.095,28.1531
36.9,28.1215,28.0641,28.1217
37,28.0904,28.0334,28.0906
37.1,28.0597,28.0031,28.0599
37.2,28.0292,27.9731,28.0294
37.3,27.9991,27.9433,27.9993
37.4,27.9693,27.9139,27.9694
37.5,27.9397,27.8847,27.9399
37.6,27.9105,27.8559,27.9107
37.7,27.8815,27.8273,27.8817
37.8,27.8528,27.7991,27.853
37.9,27.8245,27.7711,27.8246
38,27.7963,27.7434,27.7965
38.1,27.7685,27.7159,27.7687
38.2,27.741,27.6888,27.7412
38.3,27.7137,27.6619,27.7139
38.4,27.6867,27.6353,27.6869
38.5,27.66,27.6089,27.6601
38.6,27.6335,27.5828,27.6337
38.7,27.6073,27.557,27.6075
38.8,27.5814,27.5314,27.5815
38.9,27.5557,27.5061,27.5558
39,27.5302,27.4811,27.5304
39.1,27.5051,27.4562,27.5052
39.2,27.4801,27.4317,27.4803
39.3,27.4555,27.4074,27.4556
39.4,27.431,27.3833,27.4312
39.5,27.4068,27.3595,27.407
39.6,27.3829,27.3359,27.383
39.7,27.3592,27.3125,27.3593
39.8,27.3357,27.2894,27.3359
39.9,27.3125,27.2665,27.3126
40,27.2895,27.2438,27.2896
40.1,27.2667,27.2214,27.2668
40.2,27.2441,27.1992,27.2443
40.3,27.2218,27.1772,27.2219
40.4,27.1997,27.1554,27.1998
40.5,27.1778,27.1338,27.1779
40.6,27.1561,27.1125,27.1563
40.7,27.1347,27.0914,27.1348
40.8,27.1134,27.0705,27.1136
40.9,27.0924,27.0498,27.0925
41,27.0716,27.0293,27.0717
41.1,27.051,27.009,27.0511
41.2,27.0306,26.9889,27.0307
41.3,27.0104,26.969,27.0105
41.4,26.9904,26.9493,26.9905
41.5,26.9706,26.9298,26.9707
41.6,26.9509,26.9105,26.9511
41.7,26.9315,26.8914,26.9317
41.8,26.9123,26.8725,26.9124
41.9,26.8933,26.8538,26.8934
42,26.8744,26.8352,26.8746
42.1,26.8558,26.8169,26.8559
42.2,26.8373,26.7987,26.8375
42.3,26.819,26.7807,26.8192
42.4,26.8009,26.7629,26.8011
42.5,26.783,26.7453,26.7832
42.6,26.7653,26.7278,26.7654
42.7,26.7477,26.7106,26.7478
42.8,26.7303,26.6935,26.7305
42.9,26.7131,26.6765,26.7132
43,26.6961,26.6598,26.6962
43.1,26.6792,26.6432,26.6793
43.2,26.6625,26.6267,26.6626
43.3,26.6459,26.6105,26.6461
43.4,26.6296,26.5944,26.6297
43.5,26.6134,26.5784,26.6135
43.6,26.5973,26.5626,26.5974
43.7,26.5814,26.547,26.5815
43.8,26.5657,26.5315,26.5658
43.9,26.5501,26.5162,26.5502
44,26.5347,26.5011,26.5348
44.1,26.5194,26.486,26.5195
44.2,26.5043,26.4712,26.5044
44.3,26.4893,26.4565,26.4894
44.4,26.4745,26.4419,26.4746
44.5,26.4598,26.4275,26.4599
44.6,26.4453,26.4132,26.4454
44.7,26.4309,26.3991,26.431
44.8,26.4167,26.3851,26.4168
44.9,26.4026,26.3712,26.4027
45,26.3886,26.3575,26.3887
45.1,26.3748,26.3439,26.3749
45.2,26.3611,26.3305,26.3612
45.3,26.3476,26.3172,26.3477
45.4,26.3342,26.304,26.3343
45.5,26.3209,26.291,26.321
45.6,26.3078,26.2781,26.3079
45.7,26.2947,26.2653,26.2948
45.8,26.2819,26.2526,26.282
45.9,26.2691,26.2401,26.2692
46,26.2565,26.2277,26.2566
46.1,26.244,26.2154,26.2441
46.2,26.2316,26.2033,26.2317
46.3,26.2193,26.1913,26.2194
46.4,26.2072,26.1793,26.2073
46.5,26.1952,26.1676,26.1953
46.6,26.1833,26.1559,26.1834
46.7,26.1715,26.1443,26.1716
46.8,26.1599,26.1329,26.16
46.9,26.1483,26.1215,26.1484
47,26.1369,26.1103,26.137
47.1,26.1256,26.0992,26.1257
47.2,26.1144,26.0882,26.1145
47.3,26.1033,26.0774,26.1034
47.4,26.0923,26.0666,26.0924
47.5,26.0815,26.0559,26.0815
47.6,26.0707,26.0454,26.0708
47.7,26.06,26.0349,26.0601
47.8,26.0495,26.0245,26.0496
47.9,26.0391,26.0143,26.0391
48,26.0287,26.0042,26.0288
48.1,26.0185,25.9941,26.0186
48.2,26.0083,25.9842,26.0084
48.3,25.9983,25.9743,25.9984
48.4,25.9884,25.9646,25.9885
48.5,25.9785,25.9549,25.9786
48.6,25.9688,25.9454,25.9689
48.7,25.9592,25.9359,25.9592
48.8,25.9496,25.9266,25.9497
48.9,25.9402,25.9173,25.9403
49,25.9308,25.9081,25.9309
49.1,25.9216,25.8991,25.9216
49.2,25.9124,25.8901,25.9125
49.3,25.9033,25.8812,25.9034
49.4,25.8943,25.8724,25.8944
49.5,25.8854,25.8636,25.8855
49.6,25.8766,25.855,25.8767
49.7,25.8679,25.8465,25.868
49.8,25.8593,25.838,25.8593
49.9,25.8507,25.8296,25.8508
50,25.8422,25.8213,25.8423
50.1,25.8339,25.8131,25.8339
50.2,25.8256,25.805,25.8256
50.3,25.8174,25.7969,25.8174
50.4,25.8092,25.7889,25.8093
50.5,25.8012,25.7811,25.8012
50.6,25.7932,25.7732,25.7933
50.7,25.7853,25.7655,25.7854
50.8,25.7775,25.7579,25.7776
50.9,25.7698,25.7503,25.7698
51,25.7621,25.7428,25.7622
51.1,25.7545,25.7354,25.7546
51.2,25.747,25.728,25.7471
51.3,25.7396,25.7207,25.7396
51.4,25.7322,25.7135,25.7323
51.5,25.7249,25.7064,25.725
51.6,25.7177,25.6993,25.7178
51.7,25.7106,25.6923,25.7106
51.8,25.7035,25.6854,25.7036
51.9,25.6965,25.6785,25.6966
52,25.6896,25.6718,25.6896
52.1,25.6827,25.665,25.6828
52.2,25.6759,25.6584,25.676
52.3,25.6692,25.6518,25.6692
52.4,25.6625,25.6453,25.6626
52.5,25.6559,25.6388,25.656
52.6,25.6494,25.6324,25.6495
52.7,25.643,25.6261,25.643
52.8,25.6366,25.6199,25.6366
52.9,25.6302,25.6137,25.6303
53,25.6239,25.6075,25.624
53.1,25.6177,25.6014,25.6178
53.2,25.6116,25.5954,25.6116
53.3,25.6055,25.5895,25.6056
53.4,25.5995,25.5836,25.5995
53.5,25.5935,25.5777,25.5936
53.6,25.5876,25.572,25.5877
53.7,25.5818,25.5663,25.5818
53.8,25.576,25.5606,25.576
53.9,25.5702,25.555,25.5703
54,25.5646,25.5494,25.5646
54.1,25.559,25.5439,25.559
54.2,25.5534,25.5385,25.5534
54.3,25.5479,25.5331,25.5479
54.4,25.5424,25.5278,25.5425
54.5,25.537,25.5225,25.5371
54.6,25.5317,25.5173,25.5317
54.7,25.5264,25.5121,25.5265
54.8,25.5212,25.507,25.5212
54.9,25.516,25.5019,25.516
55,25.5108,25.4969,25.5109
55.1,25.5058,25.4919,25.5058
55.2,25.5007,25.487,25.5008
55.3,25.4957,25.4821,25.4958
55.4,25.4908,25.4773,25.4909
55.5,25.4859,25.4725,25.486
55.6,25.4811,25.4678,25.4811
55.7,25.4763,25.4631,25.4764
55.8,25.4716,25.4585,25.4716
55.9,25.4669,25.4539,25.4669
56,25.4622,25.4494,25.4623
56.1,25.4576,25.4449,25.4577
56.2,25.4531,25.4404,25.4531
56.3,25.4486,25.436,25.4486
56.4,25.4441,25.4317,25.4442
56.5,25.4397,25.4274,25.4397
56.6,25.4353,25.4231,25.4354
56.7,25.431,25.4189,25.431
56.8,25.4267,25.4147,25.4267
56.9,25.4224,25.4105,25.4225
57,25.4182,25.4064,25.4183
57.1,25.4141,25.4024,25.4141
57.2,25.41,25.3983,25.41
57.3,25.4059,25.3943,25.4059
57.4,25.4018,25.3904,25.4019
57.5,25.3978,25.3865,25.3979
57.6,25.3939,25.3826,25.3939
57.7,25.39,25.3788,25.39
57.8,25.3861,25.375,25.3861
57.9,25.3822,25.3713,25.3823
58,25.3784,25.3676,25.3785
58.1,25.3747,25.3639,25.3747
58.2,25.371,25.3602,25.371
58.3,25.3673,25.3566,25.3673
58.4,25.3636,25.3531,25.3636
58.5,25.36,25.3495,25.36
58.6,25.3564,25.346,25.3564
58.7,25.3529,25.3426,25.3529
58.8,25.3493,25.3392,25.3494
58.9,25.3459,25.3358,25.3459
59,25.3424,25.3324,25.3425
59.1,25.339,25.3291,25.3391
59.2,25.3357,25.3258,25.3357
59.3,25.3323,25.3225,25.3323
59.4,25.329,25.3193,25.329
59.5,25.3257,25.3161,25.3258
59.6,25.3225,25.313,25.3225
59.7,25.3193,25.3098,25.3193
59.8,25.3161,25.3067,25.3161
59.9,25.313,25.3037,25.313
60,25.3098,25.3006,25.3099
60.1,25.3068,25.2976,25.3068
60.2,25.3037,25.2946,25.3037
60.3,25.3007,25.2917,25.3007
60.4,25.2977,25.2888,25.2977
60.5,25.2947,25.2859,25.2948
60.6,25.2918,25.283,25.2918
60.7,25.2889,25.2802,25.2889
60.8,25.286,25.2774,25.2861
60.9,25.2832,25.2746,25.2832
61,25.2804,25.2719,25.2804
61.1,25.2776,25.2692,25.2776
61.2,25.2748,25.2665,25.2748
61.3,25.2721,25.2638,25.2721
61.4,25.2694,25.2612,25.2694
61.5,25.2667,25.2586,25.2667
61.6,25.264,25.256,25.2641
61.7,25.2614,25.2534,25.2614
61.8,25.2588,25.2509,25.2588
61.9,25.2562,25.2484,25.2563
62,25.2537,25.2459,25.2537
62.1,25.2512,25.2434,25.2512
62.2,25.2487,25.241,25.2487
62.3,25.2462,25.2386,25.2462
62.4,25.2437,25.2362,25.2438
62.5,25.2413,25.2338,25.2413
62.6,25.2389,25.2315,25.2389
62.7,25.2365,25.2292,25.2366
62.8,25.2342,25.2269,25.2342
62.9,25.2318,25.2246,25.2319
63,25.2295,25.2224,25.2296
63.1,25.2273,25.2201,25.2273
63.2,25.225,25.2179,25.225
63.3,25.2228,25.2158,25.2228
63.4,25.2205,25.2136,25.2206
63.5,25.2183,25.2115,25.2184
63.6,25.2162,25.2094,25.2162
63.7,25.214,25.2073,25.214
63.8,25.2119,25.2052,25.2119
63.9,25.2098,25.2031,25.2098
64,25.2077,25.2011,25.2077
64.1,25.2056,25.1991,25.2057
64.2,25.2036,25.1971,25.2036
64.3,25.2016,25.1951,25.2016
64.4,25.1996,25.1932,25.1996
64.5,25.1976,25.1913,25.1976
64.6,25.1956,25.1893,25.1956
64.7,25.1937,25.1874,25.1937
64.8,25.1917,25.1856,25.1917
64.9,25.1898,25.1837,25.1898
65,25.1879,25.1819,25.188
65.1,25.1861,25.1801,25.1861
65.2,25.1842,25.1783,25.1842
65.3,25.1824,25.1765,25.1824
65.4,25.1806,25.1747,25.1806
65.5,25.1788,25.173,25.1788
65.6,25.177,25.1712,25.177
65.7,25.1752,25.1695,25.1752
65.8,25.1735,25.1678,25.1735
65.9,25.1718,25.1662,25.1718
66,25.17,25.1645,25.1701
66.1,25.1684,25.1628,25.1684
66.2,25.1667,25.1612,25.1667
66.3,25.165,25.1596,25.165
66.4,25.1634,25.158,25.1634
66.5,25.1618,25.1564,25.1618
66.6,25.1601,25.1549,25.1602
66.7,25.1585,25.1533,25.1586
66.8,25.157,25.1518,25.157
66.9,25.1554,25.1503,25.1554
67,25.1539,25.1488,25.1539
67.1,25.1523,25.1473,25.1524
67.2,25.1508,25.1458,25.1508
67.3,25.1493,25.1443,25.1493
67.4,25.1478,25.1429,25.1478
67.5,25.1464,25.1415,25.1464
67.6,25.1449,25.1401,25.1449
67.7,25.1435,25.1387,25.1435
67.8,25.142,25.1373,25.1421
67.9,25.1406,25.1359,25.1406
68,25.1392,25.1345,25.1392
68.1,25.1378,25.1332,25.1379
68.2,25.1365,25.1319,25.1365
68.3,25.1351,25.1305,25.1351
68.4,25.1338,25.1292,25.1338
68.5,25.1324,25.1279,25.1324
68.6,25.1311,25.1267,25.1311
68.7,25.1298,25.1254,25.1298
68.8,25.1285,25.1241,25.1285
68.9,25.1272,25.1229,25.1273
69,25.126,25.1217,25.126
69.1,25.1247,25.1205,25.1247
69.2,25.1235,25.1193,25.1235
69.3,25.1223,25.1181,25.1223
69.4,25.121,25.1169,25.121
69.5,25.1198,25.1157,25.1198
69.6,25.1186,25.1146,25.1187
69.7,25.1175,25.1134,25.1175
69.8,25.1163,25.1123,25.1163
69.9,25.1151,25.1112,25.1151
70,25.114,25.11,25.114
70.1,25.1129,25.1089,25.1129
70.2,25.1117,25.1078,25.1117
70.3,25.1106,25.1068,25.1106
70.4,25.1095,25.1057,25.1095
70.5,25.1084,25.1046,25.1084
70.6,25.1073,25.1036,25.1074
70.7,25.1063,25.1026,25.1063
70.8,25.1052,25.1015,25.1052
70.9,25.1042,25.1005,25.1042
71,25.1031,25.0995,25.1032
71.1,25.1021,25.0985,25.1021
71.2,25.1011,25.0975,25.1011
71.3,25.1001,25.0966,25.1001
